id,created_at,text,media_url
1230702209152634882,2020-02-21 03:54:06,Immigration does not make our country weaker—immigration makes our country stronger. #CNNTownHall https://t.co/oSX4JqrM3l,http://pbs.twimg.com/media/ERRTyCPU4AERpcm.jpg
1230694420078567424,2020-02-21 03:23:09,It's time for a #WealthTax in America. #CNNTownHall https://t.co/K6nuUwKaUx,http://pbs.twimg.com/media/ERRNoxFW4AA3Xkr.jpg
1230665292323446784,2020-02-21 01:27:25,My boy! #LoveYourPetDay https://t.co/aCgyVUFOP7,http://pbs.twimg.com/media/ERQzjQpX0AI-M3W.jpg
1230611101693435904,2020-02-20 21:52:04,RT @Castro4Congress: Packed house in Nevada this morning fired up for @ewarren after that 🔥 #DemDebate last night! https://t.co/yQYnDR5jcQ,http://pbs.twimg.com/media/ERPRpq2UUAUMwvK.jpg
1230349835439611904,2020-02-20 04:33:54,I'll fight for your family just as hard as I've fought for my own. #DemDebate https://t.co/uQn2OghaoN,http://pbs.twimg.com/media/ERMUgpXWsAULhSj.jpg
1230333454933528576,2020-02-20 03:28:48,This presidential race is about leadership and accountability. Mike Bloomberg needs a different apology. #DemDebate https://t.co/M0C1NYbKKQ,http://pbs.twimg.com/media/ERMFj-uX0AAtz5T.jpg
1229530400403460096,2020-02-17 22:17:45,Thank you for my “Happy Presidents’ Day” card—I love it! https://t.co/B0DjPpmZ9R,http://pbs.twimg.com/media/ERAqWgFX0AENx7_.jpg
1229200655463698433,2020-02-17 00:27:28,"RT @KasieDC: TONIGHT: Presidential candidate @ewarren sits down with @kasie on @MSNBC, 7-9pm ET. https://t.co/db3CqVewLe",http://pbs.twimg.com/media/EQ6BRdiXYAEZb_m.jpg
1229155441688633345,2020-02-16 21:27:48,Emily asked me why it's important for women to run for president. Here's my answer. https://t.co/8z5SG7fXbk,http://pbs.twimg.com/media/EQ7VORVW4AAiOx7.jpg
1228849975284682754,2020-02-16 01:13:59,Bella—we’re in this fight together. https://t.co/1w3Cd0sEyC,http://pbs.twimg.com/media/EQ2-_w7WoAIwPnY.jpg
1228378760132616193,2020-02-14 18:01:33,"Happy Valentine’s Day, sweetie! https://t.co/0KuBQkPCxr",http://pbs.twimg.com/media/EQwSbU8WoAI0mJW.jpg
1228009904973238274,2020-02-13 17:35:51,"Here’s a history lesson on the racist legacy of redlining, if any presidential candidate needs a refresher. https://t.co/PiyJrEFXcV",http://pbs.twimg.com/media/D_DNzOyXkAEcFmx.jpg
1227418101572145152,2020-02-12 02:24:14,"Thank you, @AndrewYang. I look forward to fighting alongside you to build an economy that works for working people. https://t.co/hOc0FaLNzT",http://pbs.twimg.com/media/EQiqQSBX0AA0zsU.jpg
1226632757499047936,2020-02-09 22:23:33,RT @saramikaila: .@AyannaPressley speaks to volunteers in Nashua #LFG #NHforWarren https://t.co/sGN98OPRN7,http://pbs.twimg.com/ext_tw_video_thumb/1226555647682019328/pu/img/AJF1wi5-yXzxQwze.jpg
1226534332673687554,2020-02-09 15:52:27,"Manchester is ready to get out, knock some doors, and make big, structural change. Let’s do this! https://t.co/SW1pltG8FL",http://pbs.twimg.com/media/EQWGYZkWsAEBiRe.jpg
1226338262664564736,2020-02-09 02:53:20,RT @JossieValentin: When the boss makes a special appearance over the sea of Warren Democrats 🗽🗽🗽🗽 https://t.co/IA9nGgg2qj,http://pbs.twimg.com/ext_tw_video_thumb/1226316179683315712/pu/img/tFnrcg7UYRY18fXd.jpg
1226335527152033792,2020-02-09 02:42:28,RT @norakatekeefe: Hello @TeamWarren! https://t.co/8CAmp7PttM,http://pbs.twimg.com/media/EQS_5wuWAAASBOR.jpg
1225992571060617216,2020-02-08 03:59:41,"RT @TeamWarren: Nevertheless, #WePersist. https://t.co/eatHD7OPMK https://t.co/CP78Zbs6nS",http://pbs.twimg.com/tweet_video_thumb/EQOZZMGWsAAAUYI.jpg
